Post,Date,Day,Time (IST),Format,Pillar,Funnel,Buyer,Working Title,Core Idea,Primary CTA,Assets Needed,Status
1,2026-10-05,Monday,12:30 PM,Carousel (6),BRAND,TOFU,A,"We started because Rs 1899 shouldn't feel like a compromise","Launch post as a point of view, not a product. Origin story in 5 slides, hero pendant last and small.","Follow along - we're building this in public","Cream linen flat-lay; 1 founder photo; hero pendant macro",Not started
2,2026-10-06,Tuesday,8:00 PM,Reel (12s),PROD,TOFU,A,"Hero pendant - one continuous macro shot","No cuts. Slow rotation under warm lamp. Overlay at 7s: 925 silver / Rs 1899 / yours on a Tuesday.","Link in bio","Macro video; turntable or hand rotation; warm lamp",Not started
3,2026-10-07,Wednesday,7:30 PM,Reel (20s),TRUST,MOFU,A,"How to check if your silver is actually silver","Macro on 925 hallmark + magnet test + cloth test. Teach viewer to test ANY silver, competitors included.","Save this before you buy silver anywhere","Phone macro mode; fridge magnet; polishing cloth",Not started
4,2026-10-08,Thursday,12:00 PM,Carousel (5),BTS,MOFU,A,"Here's exactly where your Rs 1899 goes","Honest cost breakdown: silver, plating, labour, packaging, shipping, fees, margin. Slide 5 names the trade-off.","Ask us anything in the comments","Cost breakdown graphics; founder photo",Not started
5,2026-10-09,Friday,1:00 PM,Static / Carousel (3),FEST,TOFU,A,"Nine nights, nine colours - what to wear with each","Navratri colour calendar with a jewellery pairing per day. Posted 2 days BEFORE Ghatasthapana so she can plan.","Save this for the week","9-swatch colour grid; 1 product per swatch",Not started
6,2026-10-10,Saturday,11:00 AM,Reel (18s),PROD,MOFU,A,"One pendant, three places","Three outfit changes, same pendant: office kurta / dinner dress / garba chaniya choli. Cost-per-wear made visual.","Which look is yours?","3 outfits; 1 model; hard cuts on beat",Not started
7,2026-10-11,Sunday,7:00 PM,Reel (15s),FEST,TOFU,A,"Navratri Day 1 - getting ready","GRWM ending on jewellery going on last. Trending garba audio. Posted as people leave for garba.","Which colour are you wearing for Day 2?","Window light; mirror setup; 1 festive outfit",Not started
8,2026-10-12,Monday,12:30 PM,Carousel (5),UGC,BOFU,A+B,"Our first orders went out today","Real packed orders, first customer messages (permission + names blurred), courier handover. Imperfect phone photos on purpose.","Thank you - tag us when it arrives","Packing table photos; screenshot messages; courier shot",Not started
9,2026-10-13,Tuesday,8:00 PM,Reel (15s),PROD,BOFU,B,"The unboxing - ASMR","No voice. Sleeve, lid, tissue, handwritten note, the piece. Close mic on paper. Kills 'it'll look cheap' objection.","Gift-ready as standard","Overhead tripod; quiet room; close mic; full packaging",Not started
10,2026-10-14,Wednesday,7:30 PM,Carousel (6),TRUST,BOFU,B,"How to gift jewellery without knowing her size","Buyer B's #1 blocker. No-size pieces / string trick / measure her ring / free exchange / delivery cutoffs / gift edit.","Link in bio - delivery by Dussehra","Sizing diagrams; string-trick photos; delivery calendar",Not started
11,2026-10-15,Thursday,12:00 PM,Reel (20s),BTS,MOFU,A,"Why yours won't turn your skin green","Anti-tarnish coating actually being applied. Polishing bench. QC check. Plain unhurried voiceover.","6-month anti-tarnish warranty on every piece","Workshop/bench footage; coating process; VO recording",Not started
12,2026-10-16,Friday,8:30 PM,Reel (12s),UGC,TOFU,A,"First customer reshare","Real customer's garba clip wearing the piece. Credit + thank-you overlay. Their framing, unpolished.","Tag us - we reshare every single one","Customer footage (with permission); credit overlay",Not started
13,2026-10-17,Saturday,11:00 AM,Carousel (7),FEST,BOFU,B,"The under-Rs 2500 festive gift edit","Six pieces, one per slide, each with price + who it suits + delivery-by date. Slide 7 = cutoff calendar. PIN THIS.","Link in bio","6 product shots; price overlays; delivery calendar",Not started
14,2026-10-17,Saturday,8:00 PM,Reel (15s),UGC,MOFU,B,"POV: he actually got the gift right","Relationship POV skit on trending audio. Her reaction to the box, not the jewellery. He's visibly relieved.","If you're the one panicking about Dussehra - link in bio","2 people; 1 gift box; trending audio",Not started
15,2026-10-18,Sunday,6:00 PM,Carousel (5),UGC/BRAND,MOFU,A+B,"Two weeks old. Thank you.","Orders shipped, cities reached, reviews received, and the one thing that went wrong + how it was fixed. Slide 5 teases Dhanteras.","Dhanteras collection drops soon - turn on notifications","Stats graphics; customer photo grid; teaser image",Not started
